Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",137.210800,-59.436000,180.000000,top
"C2","100nF","C_0402_1005Metric",139.192000,-80.518000,180.000000,top
"C3","100nF","C_0402_1005Metric",143.814800,-91.948000,180.000000,top
"C4","100nF","C_0402_1005Metric",144.881600,-74.193400,90.000000,top
"C5","100nF","C_0402_1005Metric",139.141200,-76.200000,180.000000,top
"C6","100nF","C_0402_1005Metric",142.468600,-80.010000,-90.000000,top
"C7","1uF","C_1206_3216Metric",143.065500,-77.762100,0.000000,top
"C8","47uF","C_0805_2012Metric",130.810000,-58.115200,-90.000000,top
"C9","1uF","C_0402_1005Metric",133.045200,-55.829200,0.000000,top
"C10","1uF","C_0402_1005Metric",135.077200,-55.829200,180.000000,top
"D1","1N5819WS","D_SOD-323",134.288400,-69.329300,-90.000000,top
"D2","1N5819WS","D_SOD-323",137.820400,-69.329300,-90.000000,top
"D3","Green","LED_0603_1608Metric",132.270500,-69.329300,-90.000000,top
"D4","Red","LED_0603_1608Metric",144.500600,-89.890600,90.000000,top
"IC1","SN74LVC245APWR","TSSOP-20_4.4x6.5mm_P0.65mm",135.153400,-63.500000,0.000000,top
"IC2","SN74LVC245APWR","TSSOP-20_4.4x6.5mm_P0.65mm",137.820400,-84.709000,0.000000,top
"IC3","SN74LVC245APWR","TSSOP-20_4.4x6.5mm_P0.65mm",141.376400,-96.266000,0.000000,top
"IC4","74LVC1G08","SOT-23-5",142.265400,-74.676000,0.000000,top
"R1","47R","R_0402_1005Metric",130.810000,-55.829200,0.000000,top
"R2","3K3","R_0402_1005Metric",135.178800,-79.603600,0.000000,top
"R3","3K3","R_0402_1005Metric",139.166600,-88.874600,0.000000,top
"R4","220R","R_0402_1005Metric",141.376400,-80.010000,90.000000,top
"R5","100R","R_0402_1005Metric",143.535400,-80.010000,-90.000000,top
"R6","2K2","R_0402_1005Metric",132.232400,-71.905000,-90.000000,top
"R7","470R","R_0402_1005Metric",141.937600,-88.874600,180.000000,top
"RN1","33R","R_Array_Concave_4x0402",143.725900,-83.820000,0.000000,top
"RN2","33R","R_Array_Concave_4x0402",143.725900,-86.602000,0.000000,top
"U1","XC6206P332MR","SOT-23-3",134.061200,-58.115200,180.000000,top
"U2","NC7WZ16P6X","SOT-363_SC-70-6",137.972800,-78.206600,0.000000,top
